image_path,label
train\edible\edible_0.jpg,edible
train\edible\edible_1.jpg,edible
train\edible\edible_10.jpg,edible
train\edible\edible_11.jpg,edible
train\edible\edible_12.jpg,edible
train\edible\edible_13.jpg,edible
train\edible\edible_14.jpg,edible
train\edible\edible_15.jpg,edible
train\edible\edible_16.jpg,edible
train\edible\edible_17.jpg,edible
train\edible\edible_18.jpg,edible
train\edible\edible_19.jpg,edible
train\edible\edible_2.jpg,edible
train\edible\edible_20.jpg,edible
train\edible\edible_21.jpg,edible
train\edible\edible_22.jpg,edible
train\edible\edible_23.jpg,edible
train\edible\edible_24.jpg,edible
train\edible\edible_3.jpg,edible
train\edible\edible_4.jpg,edible
train\edible\edible_5.jpg,edible
train\edible\edible_6.jpg,edible
train\edible\edible_7.jpg,edible
train\edible\edible_8.jpg,edible
train\edible\edible_9.jpg,edible
train\poisonous\poisonous_0.jpg,poisonous
train\poisonous\poisonous_1.jpg,poisonous
train\poisonous\poisonous_10.jpg,poisonous
train\poisonous\poisonous_11.jpg,poisonous
train\poisonous\poisonous_12.jpg,poisonous
train\poisonous\poisonous_13.jpg,poisonous
train\poisonous\poisonous_14.jpg,poisonous
train\poisonous\poisonous_15.jpg,poisonous
train\poisonous\poisonous_16.jpg,poisonous
train\poisonous\poisonous_17.jpg,poisonous
train\poisonous\poisonous_18.jpg,poisonous
train\poisonous\poisonous_19.jpg,poisonous
train\poisonous\poisonous_2.jpg,poisonous
train\poisonous\poisonous_20.jpg,poisonous
train\poisonous\poisonous_21.jpg,poisonous
train\poisonous\poisonous_22.jpg,poisonous
train\poisonous\poisonous_23.jpg,poisonous
train\poisonous\poisonous_24.jpg,poisonous
train\poisonous\poisonous_25.jpg,poisonous
train\poisonous\poisonous_26.jpg,poisonous
train\poisonous\poisonous_27.jpg,poisonous
train\poisonous\poisonous_28.jpg,poisonous
train\poisonous\poisonous_29.jpg,poisonous
train\poisonous\poisonous_3.jpg,poisonous
train\poisonous\poisonous_30.jpg,poisonous
train\poisonous\poisonous_4.jpg,poisonous
train\poisonous\poisonous_5.jpg,poisonous
train\poisonous\poisonous_6.jpg,poisonous
train\poisonous\poisonous_7.jpg,poisonous
train\poisonous\poisonous_8.jpg,poisonous
train\poisonous\poisonous_9.jpg,poisonous
val\edible\edible_0.jpg,edible
val\edible\edible_1.jpg,edible
val\edible\edible_2.jpg,edible
val\edible\edible_3.jpg,edible
val\edible\edible_4.jpg,edible
val\poisonous\poisonous_0.jpg,poisonous
val\poisonous\poisonous_1.jpg,poisonous
val\poisonous\poisonous_2.jpg,poisonous
val\poisonous\poisonous_3.jpg,poisonous
val\poisonous\poisonous_4.jpg,poisonous
val\poisonous\poisonous_5.jpg,poisonous
test\edible\edible_0.jpg,edible
test\edible\edible_1.jpg,edible
test\edible\edible_2.jpg,edible
test\edible\edible_3.jpg,edible
test\edible\edible_4.jpg,edible
test\edible\edible_5.jpg,edible
test\edible\edible_6.jpg,edible
test\poisonous\poisonous_0.jpg,poisonous
test\poisonous\poisonous_1.jpg,poisonous
test\poisonous\poisonous_2.jpg,poisonous
test\poisonous\poisonous_3.jpg,poisonous
test\poisonous\poisonous_4.jpg,poisonous
test\poisonous\poisonous_5.jpg,poisonous
test\poisonous\poisonous_6.jpg,poisonous
test\poisonous\poisonous_7.jpg,poisonous
